Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,115.324677,115.500000,108.441559,110.389610,108.224770,23628712
2021-08-09,110.389610,111.597404,107.402596,107.896103,105.780167,14755970
2021-08-10,108.974022,110.376625,107.409088,108.103897,105.983879,13351065
2021-08-11,108.110390,108.129868,105.214287,106.155846,104.074036,14481610
2021-08-12,104.870132,107.454544,103.246750,105.519478,103.450142,11065776
2021-08-13,105.733765,106.915581,100.779221,102.402596,100.394386,17428070
2021-08-16,101.376625,104.922073,101.116882,102.240257,100.235229,11622563
2021-08-17,101.948051,103.759743,97.415581,97.727272,95.810753,19099203
2021-08-18,98.298698,99.870132,96.961037,98.136360,96.211815,10492585
2021-08-19,98.136360,100.162338,97.532471,98.116882,96.192719,11125378
2021-08-20,96.753242,97.389610,93.428574,94.188309,92.341194,19540567
2021-08-23,96.103897,110.714287,96.077919,108.064934,105.945679,42266011
2021-08-24,107.766235,111.006493,106.272728,110.389610,108.224770,24947131
2021-08-25,109.142860,113.227272,109.090912,109.857140,107.702736,16267705
2021-08-26,110.064934,110.389610,100.714287,102.461037,100.451683,26719201
2021-08-27,102.597404,108.818184,101.896103,106.597404,104.506927,16848636
2021-08-30,122.454544,122.454544,113.798698,114.987015,112.732018,50681994
2021-08-31,117.500000,119.285713,113.701302,114.935066,112.681091,24766999
2021-09-01,116.980522,118.181816,112.058441,116.363632,114.081635,23842834
2021-09-02,117.707794,117.785713,109.454544,109.863632,107.709106,24764196
2021-09-03,107.207794,107.571426,103.636360,104.025970,101.985924,23224250
2021-09-06,103.480522,108.629868,102.032471,107.896103,105.780167,19270751
2021-09-07,107.142860,108.441559,105.655846,107.058441,104.958931,13018856
2021-09-08,107.785713,107.785713,103.571426,103.831169,101.794945,14985185
2021-09-09,104.116882,104.435066,102.389610,103.603897,101.572128,9918779
2021-09-10,103.896103,103.896103,100.688309,103.110390,101.088295,13788168
2021-09-13,103.571426,104.545456,101.428574,102.136360,100.133369,11610506
2021-09-14,102.993507,105.409088,100.980522,102.467529,100.458046,15574990
2021-09-15,101.370132,102.266235,97.727272,98.831169,96.892998,18959569
2021-09-16,99.350647,99.629868,96.525970,96.896103,94.995880,15746490
2021-09-17,97.402596,104.545456,96.110390,103.201302,101.177429,24791987
2021-09-22,101.077919,106.025970,101.077919,104.220779,102.176910,14999227
2021-09-23,103.577919,106.688309,103.025970,103.961037,101.922264,11481089
2021-09-24,103.974022,105.512985,102.532471,103.707794,101.673988,12536175
2021-09-27,103.831169,106.941559,102.733765,105.694801,103.622032,17448523
2021-09-28,104.454544,106.818184,101.948051,103.194801,101.171059,13378243
2021-09-29,102.597404,103.889610,101.298698,101.298698,99.312134,9103420
2021-09-30,102.571426,104.045456,101.857140,103.240257,101.215622,9123013
2021-10-08,96.103897,98.428574,93.805191,94.896103,93.035103,30911894
2021-10-11,94.584412,96.266235,92.097404,92.597404,90.781487,21176164
2021-10-12,91.616882,93.129868,88.961037,90.909088,89.126274,19326530
2021-10-13,90.396103,91.967529,88.512985,91.467529,89.673767,20018088
2021-10-14,92.532471,95.597404,91.129868,95.110390,93.245186,18156834
2021-10-15,94.805191,96.675323,93.597404,95.207794,93.340683,13598487
2021-10-18,94.805191,94.857140,91.525970,92.857140,91.036125,13668159
2021-10-19,92.987015,94.077919,90.909088,93.584412,91.749138,15251065
2021-10-20,93.064934,95.584412,92.350647,94.707794,92.850487,11794444
2021-10-21,94.792206,97.168831,93.831169,94.993507,93.130600,14279147
2021-10-22,94.993507,99.922073,94.616882,97.876625,95.957176,16344331
2021-10-25,97.376625,98.441559,94.805191,95.792206,93.913635,12965029
2021-10-26,95.928574,97.662338,95.324677,95.629868,93.754478,11647696
2021-10-27,95.967529,97.077919,94.915581,95.324677,93.455269,9077873
2021-10-28,95.318184,96.805191,94.967529,95.506493,93.633522,11998500
2021-10-29,95.454544,99.246750,89.616882,97.532471,95.619774,25408410
2021-11-01,96.876625,96.954544,89.857140,90.129868,88.362335,30635743
2021-11-02,89.610390,90.824677,83.935066,84.993507,83.326706,37127995
2021-11-03,85.389610,89.259743,85.194801,87.844154,86.121452,21999033
2021-11-04,87.662338,88.311691,85.876625,86.688309,84.988266,15598148
2021-11-05,85.064934,87.337662,84.058441,86.246750,84.555374,12919075
2021-11-08,83.441559,84.123375,80.675323,83.019478,81.391388,25555975
2021-11-09,83.772728,85.610390,83.201302,83.480522,81.843399,15664920
2021-11-10,82.792206,85.785713,79.805191,83.792206,82.148964,29847345
2021-11-11,82.467529,83.649353,81.532471,83.279221,81.646034,12909470
2021-11-12,83.766235,85.506493,82.610390,83.012985,81.385025,13226910
2021-11-15,84.389610,88.019478,83.779221,87.389610,85.675819,24526682
2021-11-16,87.142860,89.675323,85.889610,88.961037,87.216431,22491067
2021-11-17,88.311691,91.285713,87.766235,88.181816,86.452484,15521903
2021-11-18,87.668831,88.636360,86.285713,86.324677,84.631775,12823806
2021-11-19,85.974022,86.883118,84.701302,85.292206,83.619553,13559495
2021-11-22,85.292206,85.610390,84.045456,84.448051,82.791946,11546624
2021-11-23,85.000000,86.285713,84.415581,84.538963,82.881073,12076707
2021-11-24,83.961037,84.922073,82.909088,84.259743,82.607330,13529853
2021-11-25,85.493507,85.941559,83.961037,84.409088,82.753746,12169334
2021-11-26,84.941559,85.701302,83.512985,83.688309,82.047104,11180535
2021-11-29,88.636360,90.824677,85.681816,86.428574,84.733635,38478236
2021-11-30,85.194801,85.772728,81.831169,83.688309,82.047104,30958199
2021-12-01,82.402596,82.967529,80.850647,81.090912,79.500641,20901070
2021-12-02,80.162338,81.474022,79.363632,79.876625,78.310173,16198328
2021-12-03,79.941559,80.129868,77.922073,79.376625,77.819977,18135137
2021-12-06,79.155846,80.116882,77.922073,78.110390,76.578575,14521702
2021-12-07,78.298698,80.506493,77.941559,79.642860,78.080994,16179708
2021-12-08,81.168831,81.493507,79.227272,80.474022,78.895851,17268950
2021-12-09,80.051949,84.935066,79.746750,84.441559,82.785583,33725661
2021-12-10,84.493507,84.642860,82.051949,82.642860,81.022163,21124310
2021-12-13,82.324677,85.454544,82.324677,83.461037,81.824287,17786983
2021-12-14,83.512985,88.896103,83.500000,85.383118,83.708679,28114452
2021-12-15,85.636360,87.987015,83.831169,84.318184,82.664627,19596828
2021-12-16,83.116882,85.616882,83.038963,85.025970,83.358536,13991189
2021-12-17,83.766235,85.967529,83.175323,83.610390,81.970711,13037276
2021-12-20,83.915581,88.201302,83.766235,85.220779,83.549522,24220200
2021-12-21,84.415581,86.363632,83.493507,85.474022,83.797798,14761525
2021-12-22,84.818184,85.636360,83.857140,83.883118,82.238091,10720937
2021-12-23,83.298698,83.441559,80.720779,81.077919,79.487907,17324213
2021-12-24,81.246750,85.636360,80.792206,84.935066,83.269417,20224875
2021-12-27,85.162338,85.844154,82.142860,82.727272,81.104912,13885185
2021-12-28,82.727272,83.623375,81.694801,82.551949,80.933029,13295157
2021-12-29,82.461037,83.259743,81.220779,81.402596,79.806213,11893064
2021-12-30,81.370132,82.272728,80.642860,81.623375,80.022667,10088413
2021-12-31,81.694801,82.246750,80.603897,80.909088,79.322380,12156391
2022-01-04,80.525970,80.545456,77.928574,78.779221,77.234291,18878256
2022-01-05,78.779221,79.454544,76.701302,77.038963,75.528160,16143188
2022-01-06,76.363632,77.454544,74.220779,75.519478,74.038467,22098621
2022-01-07,74.688309,75.474022,73.896103,74.175323,72.720680,20370459
2022-01-10,73.766235,76.818184,73.766235,76.188309,74.694183,19315326
2022-01-11,76.188309,76.266235,73.837662,74.935066,73.465523,15074624
2022-01-12,75.727272,77.532471,75.071426,76.811691,75.305344,18170358
2022-01-13,76.850647,76.980522,73.961037,74.272728,72.816170,15147298
2022-01-14,73.766235,74.155846,71.103897,73.532471,72.090439,21478336
2022-01-17,73.506493,73.616882,71.168831,71.525970,70.123276,23321796
2022-01-18,71.525970,73.116882,70.506493,71.818184,70.409767,16107686
2022-01-19,70.675323,71.422073,68.746750,69.077919,67.723244,19239794
2022-01-20,69.155846,70.863632,69.071426,69.480522,68.117943,15934095
2022-01-21,68.831169,70.331169,67.389610,67.480522,66.157166,17231914
2022-01-24,67.532471,70.233765,67.480522,68.538963,67.194855,17617002
