Date,Close/Last,Volume,Open,High,Low
06/07/2022,$160.12,690787,$157.05,$162.09,$156.99
06/06/2022,$159.31,812035,$159.20,$162.13,$157.7522
06/03/2022,$157.70,917432,$158.12,$159.50,$152.1401
06/02/2022,$158.36,1033651,$160.56,$163.4026,$155.86
06/01/2022,$161.49,583124,$165.00,$166.92,$159.18
05/31/2022,$163.36,1047660,$163.80,$167.87,$162.95
05/27/2022,$166.96,1071509,$159.875,$167.68,$157.63
05/26/2022,$158.15,664272,$155.85,$159.26,$153.64
05/25/2022,$154.67,673004,$154.20,$157.88,$150.56
05/24/2022,$154.50,1103110,$160.94,$162.11,$153.7501
05/23/2022,$163.22,785703,$166.39,$166.49,$161.14
05/20/2022,$163.00,1198036,$168.09,$169.26,$159.908
05/19/2022,$167.87,1821934,$158.79,$170.25,$158.57
05/18/2022,$157.06,840377,$157.20,$160.80,$155.7087
05/17/2022,$159.80,1058358,$154.61,$161.21,$153.5401
05/16/2022,$151.20,1266391,$157.73,$159.44,$150.145
05/13/2022,$158.84,1722913,$160.00,$165.00,$156.67
05/12/2022,$158.00,2227156,$143.14,$158.12,$142.76
05/11/2022,$144.16,2390787,$142.56,$155.28,$142.05
05/10/2022,$144.43,2259510,$139.34,$147.26,$139.30
05/09/2022,$140.32,2528910,$139.57,$146.13,$138.50
05/06/2022,$136.17,1403993,$140.79,$141.30,$133.62
05/05/2022,$141.92,1221283,$148.44,$149.82,$140.31
05/04/2022,$151.84,1451344,$150.84,$152.89,$143.09
05/03/2022,$149.23,989684,$146.19,$151.45,$144.74
05/02/2022,$146.04,1150496,$139.67,$149.40,$139.52
04/29/2022,$138.78,783497,$143.03,$148.78,$138.31
04/28/2022,$143.40,1123090,$144.59,$147.47,$137.51
04/27/2022,$144.44,835569,$147.20,$150.52,$143.23
04/26/2022,$147.95,970459,$151.01,$155.41,$146.515
04/25/2022,$155.10,1237254,$145.89,$155.96,$145.60
04/22/2022,$145.07,1052136,$147.67,$151.23,$144.63
04/21/2022,$147.84,1175501,$152.83,$155.63,$147.45
04/20/2022,$153.68,1012032,$158.22,$158.90,$151.82
04/19/2022,$159.74,1417417,$159.71,$161.95,$154.15
04/18/2022,$159.57,1245165,$174.98,$174.98,$158.02
04/14/2022,$175.29,875394,$178.17,$181.69,$174.33
04/13/2022,$179.38,1947585,$168.40,$181.04,$167.46
04/12/2022,$169.13,1561984,$167.13,$172.34,$164.10
04/11/2022,$170.55,1069607,$166.10,$172.10,$164.64
04/08/2022,$170.26,886153,$167.54,$173.62,$167.37
04/07/2022,$169.11,1505433,$167.51,$170.0322,$161.37
04/06/2022,$166.65,2276923,$175.75,$176.445,$162.28
04/05/2022,$180.82,1880579,$183.66,$185.69,$180.06
04/04/2022,$186.24,2350501,$181.14,$186.24,$180.72
04/01/2022,$178.78,2418502,$169.50,$179.70,$167.20
03/31/2022,$170.56,1824482,$173.00,$174.56,$168.6906
03/30/2022,$174.78,4050075,$184.60,$189.074,$174.09
03/29/2022,$172.39,2110790,$169.40,$175.4611,$166.56
03/28/2022,$166.35,1458132,$164.45,$168.4499,$159.815
03/25/2022,$161.10,1530989,$169.20,$170.95,$159.51
03/24/2022,$170.41,1365327,$166.70,$172.11,$164.72
03/23/2022,$166.33,1198580,$171.72,$172.63,$165.04
03/22/2022,$174.63,1718922,$169.38,$174.92,$164.00
03/21/2022,$170.12,1535667,$175.17,$178.50,$169.19
03/18/2022,$174.46,2969625,$165.75,$179.84,$165.43
03/17/2022,$165.00,1578741,$164.34,$166.50,$160.34
03/16/2022,$163.92,3034404,$147.40,$164.43,$147.40
03/15/2022,$145.04,2564394,$153.25,$155.58,$141.06
03/14/2022,$151.92,3920835,$139.35,$160.30,$138.69
03/11/2022,$135.64,1074583,$143.25,$145.25,$135.61
03/10/2022,$137.27,799525,$139.42,$139.68,$134.55
03/09/2022,$140.21,1519648,$135.32,$144.1275,$134.10
03/08/2022,$128.16,1617073,$123.90,$133.67,$121.32
03/07/2022,$126.25,1674871,$133.18,$136.61,$124.47
03/04/2022,$136.26,1654837,$137.09,$139.525,$134.52
03/03/2022,$142.26,960168,$147.56,$147.66,$139.80
03/02/2022,$146.95,1034258,$145.00,$148.03,$140.48
03/01/2022,$146.73,969031,$150.27,$153.96,$146.13
02/28/2022,$150.81,1388609,$147.05,$152.45,$146.58
02/25/2022,$150.62,1232806,$157.11,$158.69,$149.63
02/24/2022,$154.06,2106150,$140.15,$154.43,$138.5664
02/23/2022,$141.16,1512433,$152.33,$152.44,$140.97
02/22/2022,$149.89,1492198,$149.49,$153.97,$146.85
02/18/2022,$156.94,1016319,$156.95,$159.34,$151.60
02/17/2022,$157.36,886749,$163.426,$167.00,$157.09
02/16/2022,$165.49,1101647,$161.93,$168.28,$158.10
02/15/2022,$163.44,1214532,$155.85,$164.77,$155.70
02/14/2022,$154.53,3229538,$163.67,$165.8199,$153.76
02/11/2022,$170.95,1439808,$167.93,$174.20,$167.78
02/10/2022,$167.54,1205525,$165.04,$175.87,$163.8803
02/09/2022,$173.33,1874463,$162.90,$173.87,$160.91
02/08/2022,$159.60,3091877,$162.35,$165.8086,$156.24
02/07/2022,$172.81,1494128,$175.59,$176.875,$171.10
02/04/2022,$176.57,880607,$175.77,$177.36,$172.2913
02/03/2022,$175.02,1405254,$172.349,$179.1267,$171.2567
02/02/2022,$180.15,1823336,$181.00,$184.13,$175.22
02/01/2022,$179.60,1933271,$182.18,$183.61,$174.16
01/31/2022,$172.08,1860177,$166.00,$172.69,$162.51
01/28/2022,$162.22,1432357,$154.00,$162.23,$150.59
01/27/2022,$154.54,2479231,$161.93,$164.4699,$152.78
01/26/2022,$160.70,2688093,$163.53,$167.68,$159.10
01/25/2022,$156.49,4071003,$157.485,$166.50,$152.5578
01/24/2022,$150.98,5816478,$141.99,$151.99,$135.13
01/21/2022,$147.50,4395485,$153.85,$154.87,$145.81
01/20/2022,$156.53,3282706,$166.41,$166.79,$155.73
01/19/2022,$161.66,3528331,$171.64,$175.72,$160.60
01/18/2022,$169.23,4748195,$183.27,$183.27,$168.07
01/14/2022,$196.00,2863828,$195.56,$206.24,$194.61
01/13/2022,$202.99,2252722,$217.09,$220.20,$202.86
01/12/2022,$220.87,1806639,$216.78,$221.575,$213.7401
01/11/2022,$215.80,2614087,$222.93,$224.23,$213.02
01/10/2022,$230.00,3737694,$204.45,$230.35,$201.55
01/07/2022,$211.84,1201372,$213.70,$217.73,$209.27
01/06/2022,$214.74,2753790,$214.48,$217.4972,$198.00
01/05/2022,$211.43,3098322,$230.47,$230.59,$211.03
01/04/2022,$224.09,3403803,$231.81,$233.52,$220.00
01/03/2022,$231.85,3783655,$253.87,$256.14,$231.50
12/31/2021,$257.80,1159051,$253.56,$263.9499,$251.37
12/30/2021,$256.81,2353520,$239.02,$258.82,$238.00
12/29/2021,$240.61,2713692,$235.12,$244.30,$231.73
12/28/2021,$241.40,2555171,$250.35,$256.4854,$238.27
12/27/2021,$254.84,1515642,$253.24,$259.90,$250.23
12/23/2021,$255.29,2604503,$258.33,$259.5199,$250.05
12/22/2021,$259.70,3092375,$273.45,$274.5493,$255.51
12/21/2021,$271.46,2768815,$275.40,$281.98,$266.60
12/20/2021,$275.23,2669536,$299.41,$302.34,$275.00
12/17/2021,$287.28,2499309,$279.60,$287.9334,$271.68
12/16/2021,$283.68,2091925,$288.273,$289.32,$277.00
12/15/2021,$287.05,2795285,$271.78,$289.70,$271.51
12/14/2021,$276.77,2172500,$272.00,$277.8999,$261.01
12/13/2021,$278.22,4028728,$267.142,$287.00,$264.20
12/10/2021,$257.68,5059625,$268.72,$271.56,$252.89
12/09/2021,$284.21,1979838,$298.06,$299.00,$283.34
12/08/2021,$291.94,3983328,$308.65,$312.96,$287.23
12/07/2021,$302.69,3478218,$287.72,$302.69,$284.54
12/06/2021,$279.83,6780093,$317.57,$321.86,$276.45
12/03/2021,$344.06,3325589,$338.00,$346.19,$328.02
12/02/2021,$333.49,4120080,$311.00,$335.00,$307.06
12/01/2021,$334.48,3712393,$335.65,$346.80,$330.66
11/30/2021,$351.74,4732549,$335.597,$359.27,$327.13
11/29/2021,$362.52,6067560,$369.50,$374.58,$346.91
11/26/2021,$348.00,11028950,$337.43,$372.49,$335.0353
11/24/2021,$304.76,2393491,$295.00,$306.82,$291.85
11/23/2021,$308.84,4346111,$308.20,$311.61,$291.59
11/22/2021,$321.71,5625454,$298.00,$322.20,$292.45
11/19/2021,$289.75,4142918,$277.68,$290.01,$275.181
11/18/2021,$274.06,2637416,$277.276,$281.05,$265.56
11/17/2021,$272.00,2897272,$263.64,$272.1485,$259.60
11/16/2021,$258.05,3291658,$247.04,$262.38,$244.06
11/15/2021,$250.48,2629244,$241.72,$250.88,$239.47
11/12/2021,$238.14,1734745,$233.50,$238.33,$231.73
11/11/2021,$235.89,2266156,$237.44,$239.79,$228.4735
11/10/2021,$235.40,4009604,$233.16,$244.74,$229.65
11/09/2021,$226.37,5541735,$251.66,$253.00,$223.57
11/08/2021,$242.60,4834286,$232.18,$243.08,$228.62
11/05/2021,$216.64,11684280,$240.47,$246.00,$207.51
11/04/2021,$273.94,5055911,$283.78,$286.00,$263.63
